Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 50°,,Exp Aps 50°,,Exp Asp 50°,,Exp mm12 50°,,Exp mm13 50°,,Exp mm14 50°,,Exp mm21 50°,,Exp mm22 50°,,Exp mm23 50°,,Exp mm24 50°,,Exp mm31 50°,,Exp mm32 50°,,Exp mm33 50°,,Exp mm34 50°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,34.659,245.29,2.917,245.29,1.347,245.29,-0.36211,245.29,-0.026443,245.29,-0.0010826,245.29,-0.35425,245.29,1.0164,245.29,0.069854,245.29,-2.46E-03,245.29,-0.043669,245.29,0.049652,245.29,-0.65635,245.29,0.69218
246.88,35.012,246.88,2.8534,246.88,1.4094,246.88,-0.34722,246.88,-0.024518,246.88,-0.0018774,246.88,-0.34565,246.88,1.0084,246.88,0.068673,246.88,-1.42E-03,246.88,-0.04287,246.88,0.052616,246.88,-0.67576,246.88,0.66786
248.47,35.356,248.47,2.7923,248.47,1.4069,248.47,-0.33525,248.47,-0.023616,248.47,-0.0021647,248.47,-0.33773,248.47,1.0082,248.47,0.067798,248.47,-0.001867,248.47,-0.043296,248.47,0.053907,248.47,-0.69891,248.47,0.64826
250.06,35.633,250.06,2.7829,250.06,1.3901,250.06,-0.32419,250.06,-0.023518,250.06,-0.0015862,250.06,-0.32928,250.06,1.0019,250.06,0.067533,250.06,-1.32E-03,250.06,-0.042146,250.06,0.053736,250.06,-0.71667,250.06,0.62602
251.64,35.982,251.64,2.6901,251.64,1.3878,251.64,-0.3137,251.64,-0.02214,251.64,-0.0017239,251.64,-0.32072,251.64,1.0052,251.64,0.066519,251.64,-0.0021805,251.64,-0.044561,251.64,0.054768,251.64,-0.74055,251.64,0.60921
253.23,36.329,253.23,2.6538,253.23,1.4259,253.23,-0.30422,253.23,-0.021095,253.23,-0.0024385,253.23,-0.31227,253.23,1.0151,253.23,0.0674,253.23,-1.48E-03,253.23,-0.053585,253.23,0.056489,253.23,-0.76622,253.23,0.59525
254.82,36.707,254.82,2.6314,254.82,1.453,254.82,-0.29247,254.82,-0.020415,254.82,-0.002749,254.82,-0.30179,254.82,1.0183,254.82,0.068186,254.82,-1.71E-03,254.82,-0.057337,254.82,0.058035,254.82,-0.78828,254.82,0.57775
256.41,37.101,256.41,2.5179,256.41,1.4325,256.41,-0.27891,256.41,-0.018968,256.41,-0.0026019,256.41,-0.29184,256.41,1.0206,256.41,0.065784,256.41,-1.36E-03,256.41,-0.06023,256.41,0.058126,256.41,-0.80833,256.41,0.55689
257.99,37.512,257.99,2.4896,257.99,1.4883,257.99,-0.26518,257.99,-0.017534,257.99,-0.0026003,257.99,-0.27865,257.99,1.0215,257.99,0.066381,257.99,-1.40E-03,257.99,-0.062385,257.99,0.060413,257.99,-0.82963,257.99,0.53458
259.58,37.94,259.58,2.3435,259.58,1.4489,259.58,-0.25001,259.58,-0.015852,259.58,-0.0025493,259.58,-0.26621,259.58,1.0211,259.58,0.063413,259.58,-0.0017305,259.58,-0.060803,259.58,0.059218,259.58,-0.84984,259.58,0.50713
261.17,38.329,261.17,2.3188,261.17,1.4802,261.17,-0.23522,261.17,-0.014753,261.17,-0.0028643,261.17,-0.25221,261.17,1.0156,261.17,0.063511,261.17,-1.29E-03,261.17,-0.05754,261.17,0.060026,261.17,-0.86664,261.17,0.47524
262.76,38.745,262.76,2.193,262.76,1.4516,262.76,-0.2208,262.76,-0.013622,262.76,-0.0026842,262.76,-0.24174,262.76,1.0155,262.76,0.061003,262.76,-0.00090879,262.76,-0.053716,262.76,0.058413,262.76,-0.88876,262.76,0.43941
264.34,39.072,264.34,2.1596,264.34,1.464,264.34,-0.20924,264.34,-0.012382,264.34,-0.0028499,264.34,-0.23068,264.34,1.0153,264.34,0.060849,264.34,-1.26E-03,264.34,-0.051804,264.34,0.059854,264.34,-0.90914,264.34,0.39906
265.93,39.325,265.93,2.0917,265.93,1.4115,265.93,-0.20053,265.93,-0.012193,265.93,-0.0029108,265.93,-0.22472,265.93,1.0158,265.93,0.05846,265.93,-0.0010238,265.93,-0.049364,265.93,0.059418,265.93,-0.92994,265.93,0.35303
267.52,39.406,267.52,2.047,267.52,1.4212,267.52,-0.19698,267.52,-0.011142,267.52,-0.0028841,267.52,-0.22139,267.52,1.0141,267.52,0.058466,267.52,-9.24E-04,267.52,-0.044496,267.52,0.058978,267.52,-0.94657,267.52,0.30058
269.11,39.349,269.11,1.9704,269.11,1.38,269.11,-0.19915,269.11,-0.010689,269.11,-0.0030735,269.11,-0.22489,269.11,1.0164,269.11,0.055828,269.11,-1.10E-03,269.11,-0.043255,269.11,0.05849,269.11,-0.96268,269.11,0.2447
270.7,39.082,270.7,1.9956,270.7,1.3605,270.7,-0.20822,270.7,-0.011551,270.7,-0.0026229,270.7,-0.23327,270.7,1.0151,270.7,0.056214,270.7,-0.000201,270.7,-0.038885,270.7,0.058198,270.7,-0.97377,270.7,0.18461
272.29,38.597,272.29,1.9803,272.29,1.2336,272.29,-0.22508,272.29,-0.013149,272.29,-0.0025137,272.29,-0.25302,272.29,1.0168,272.29,0.054424,272.29,-0.0003903,272.29,-0.033089,272.29,0.054895,272.29,-0.98047,272.29,0.12232
273.87,37.872,273.87,1.9968,273.87,1.194,273.87,-0.24937,273.87,-0.014328,273.87,-0.002558,273.87,-0.27631,273.87,1.0141,273.87,0.053678,273.87,-4.29E-05,273.87,-0.030461,273.87,0.053786,273.87,-0.97717,273.87,0.058119
