Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 60°,,Exp Aps 60°,,Exp Asp 60°,,Exp mm12 60°,,Exp mm13 60°,,Exp mm14 60°,,Exp mm21 60°,,Exp mm22 60°,,Exp mm23 60°,,Exp mm24 60°,,Exp mm31 60°,,Exp mm32 60°,,Exp mm33 60°,,Exp mm34 60°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,32.945,245.29,2.8198,245.29,1.1692,245.29,-0.41721,245.29,-0.027073,245.29,-0.0010436,245.29,-0.41084,245.29,1.0119,245.29,0.063009,245.29,-2.93E-03,245.29,-0.033183,245.29,0.03757,245.29,-0.49065,245.29,0.78691
246.88,33.244,246.88,2.7436,246.88,1.1751,246.88,-0.4048,246.88,-0.02574,246.88,-0.0014192,246.88,-0.40435,246.88,1.0055,246.88,0.061688,246.88,-0.0033675,246.88,-0.032078,246.88,0.039814,246.88,-0.52538,246.88,0.76244
248.47,33.553,248.47,2.7131,248.47,1.2234,248.47,-0.39397,248.47,-0.024603,248.47,-0.0018252,248.47,-0.39693,248.47,1.0046,248.47,0.062187,248.47,-2.59E-03,248.47,-0.033646,248.47,0.042045,248.47,-0.56348,248.47,0.73816
250.06,33.863,250.06,2.6797,250.06,1.2293,250.06,-0.38242,250.06,-0.023976,250.06,-0.0021987,250.06,-0.38724,250.06,1.0013,250.06,0.061689,250.06,-2.55E-03,250.06,-0.035037,250.06,0.044386,250.06,-0.60321,250.06,0.70729
251.64,34.182,251.64,2.6282,251.64,1.2383,251.64,-0.37309,251.64,-0.023258,251.64,-0.0017085,251.64,-0.3811,251.64,1.0078,251.64,0.061211,251.64,-2.77E-03,251.64,-0.038273,251.64,0.047378,251.64,-0.64891,251.64,0.67545
253.23,34.408,253.23,2.5757,253.23,1.2579,253.23,-0.36871,253.23,-0.022348,253.23,-0.0023207,253.23,-0.37567,253.23,1.0168,253.23,0.061013,253.23,-2.74E-03,253.23,-0.047805,253.23,0.05085,253.23,-0.70008,253.23,0.63832
254.82,34.506,254.82,2.5535,254.82,1.2367,254.82,-0.36641,254.82,-0.022316,254.82,-0.0022246,254.82,-0.37296,254.82,1.0211,254.82,0.061345,254.82,-0.0018292,254.82,-0.051633,254.82,0.051155,254.82,-0.74766,254.82,0.58869
256.41,34.539,256.41,2.4774,256.41,1.2088,256.41,-0.36544,256.41,-0.021806,256.41,-0.0027657,256.41,-0.37518,256.41,1.0235,256.41,0.058902,256.41,-2.12E-03,256.41,-0.056797,256.41,0.053535,256.41,-0.79383,256.41,0.52675
257.99,34.331,257.99,2.4871,257.99,1.2378,257.99,-0.37243,257.99,-0.021594,257.99,-0.0025472,257.99,-0.38255,257.99,1.026,257.99,0.059927,257.99,-0.0016246,257.99,-0.059527,257.99,0.055269,257.99,-0.83371,257.99,0.4548
259.58,33.857,259.58,2.526,259.58,1.1341,259.58,-0.38699,259.58,-0.023861,259.58,-0.0024246,259.58,-0.39988,259.58,1.0245,259.58,0.058333,259.58,-1.45E-03,259.58,-0.057996,259.58,0.054394,259.58,-0.86584,259.58,0.36993
261.17,33.107,261.17,2.5676,261.17,1.1094,261.17,-0.40976,261.17,-0.024707,261.17,-0.0021541,261.17,-0.42398,261.17,1.0225,261.17,0.058384,261.17,-0.0014822,261.17,-0.053477,261.17,0.054465,261.17,-0.88249,261.17,0.27765
262.76,32.049,262.76,2.6247,262.76,1.0222,262.76,-0.44251,262.76,-0.026848,262.76,-0.0023377,262.76,-0.45985,262.76,1.0202,262.76,0.057348,262.76,-8.60E-04,262.76,-0.049127,262.76,0.051762,262.76,-0.88902,262.76,0.17964
264.34,30.689,264.34,2.7332,264.34,0.97216,264.34,-0.4843,264.34,-0.028476,264.34,-0.0018254,264.34,-0.50001,264.34,1.0181,264.34,0.056242,264.34,-5.37E-04,264.34,-0.046195,264.34,0.051186,264.34,-0.87914,264.34,0.079792
265.93,28.932,265.93,2.8619,265.93,0.87799,265.93,-0.53758,265.93,-0.031124,265.93,-0.0021188,265.93,-0.55703,265.93,1.0197,265.93,0.054542,265.93,0.00044192,265.93,-0.04187,265.93,0.048413,265.93,-0.8488,265.93,-0.018956
267.52,26.87,267.52,3.0585,267.52,0.79084,267.52,-0.59569,267.52,-0.033819,267.52,-0.0018967,267.52,-0.61368,267.52,1.0173,267.52,0.053355,267.52,0.00044055,267.52,-0.0353,267.52,0.044119,267.52,-0.79784,267.52,-0.10931
