Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 55°,,Exp Aps 55°,,Exp Asp 55°,,Exp mm12 55°,,Exp mm13 55°,,Exp mm14 55°,,Exp mm21 55°,,Exp mm22 55°,,Exp mm23 55°,,Exp mm24 55°,,Exp mm31 55°,,Exp mm32 55°,,Exp mm33 55°,,Exp mm34 55°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,35.561,245.29,2.5864,245.29,1.3739,245.29,-0.33064,245.29,-0.020595,245.29,-0.002751,245.29,-0.3228,245.29,1.0111,245.29,0.064642,245.29,-3.69E-05,245.29,-0.042102,245.29,0.044232,245.29,-0.60838,245.29,0.74461
246.88,35.84,246.88,2.4998,246.88,1.4052,246.88,-0.31846,246.88,-0.0187,246.88,-0.0024082,246.88,-0.31642,246.88,1.0029,246.88,0.063054,246.88,-0.00015901,246.88,-0.040093,246.88,0.046457,246.88,-0.63922,246.88,0.71187
248.47,36.18,248.47,2.4735,248.47,1.406,248.47,-0.30623,248.47,-0.018206,248.47,-0.0027296,248.47,-0.30773,248.47,1.0017,248.47,0.062582,248.47,0.00022424,248.47,-0.040799,248.47,0.048392,248.47,-0.67325,248.47,0.6817
250.06,36.514,250.06,2.4207,250.06,1.4271,250.06,-0.29434,250.06,-0.01701,2.50E+02,-0.0026995,250.06,-0.29871,250.06,1.0005,250.06,0.0624,250.06,-9.16E-05,250.06,-0.041669,250.06,0.050029,250.06,-0.70705,250.06,0.64932
251.64,36.874,251.64,2.3633,251.64,1.438,251.64,-0.28258,251.64,-0.015797,251.64,-0.00248,251.64,-0.28931,251.64,1.0026,251.64,0.062156,251.64,-0.00013809,251.64,-0.04488,251.64,0.051703,251.64,-0.74401,251.64,0.61519
253.23,37.199,253.23,2.305,253.23,1.4443,253.23,-0.27414,253.23,-0.014985,253.23,-0.0023771,253.23,-0.2807,253.23,1.0134,253.23,0.061484,253.23,-7.51E-05,253.23,-0.053552,253.23,0.054592,253.23,-0.78599,253.23,0.58176
254.82,37.531,254.82,2.2622,254.82,1.4574,254.82,-0.26337,254.82,-0.014145,254.82,-0.0026886,254.82,-0.27164,254.82,1.0171,254.82,0.061517,254.82,7.72E-05,254.82,-0.058901,254.82,0.056216,254.82,-0.82231,254.82,0.53943
256.41,37.799,256.41,2.1859,256.41,1.4447,256.41,-0.25429,256.41,-0.013157,256.41,-0.0028661,256.41,-0.26611,256.41,1.0209,256.41,0.060559,256.41,6.27E-05,256.41,-0.062793,256.41,0.056543,256.41,-0.85618,256.41,0.49127
257.99,38.02,257.99,2.1661,257.99,1.4665,257.99,-0.24694,257.99,-0.012541,257.99,-0.0027116,257.99,-0.25866,257.99,1.0211,257.99,0.060133,257.99,0.00028717,257.99,-0.065587,257.99,0.059081,257.99,-0.88762,257.99,0.43826
259.58,38.192,259.58,2.1046,259.58,1.4143,259.58,-0.2407,259.58,-0.012341,259.58,-0.0023872,259.58,-0.25658,259.58,1.0219,259.58,0.058844,259.58,-0.00010376,259.58,-0.063596,259.58,0.058174,259.58,-0.91696,259.58,0.37817
261.17,38.265,261.17,2.0833,261.17,1.4022,261.17,-0.23711,261.17,-0.012074,261.17,-0.0023521,261.17,-0.25398,261.17,1.018,261.17,0.058382,261.17,0.00014253,261.17,-0.058624,261.17,0.05832,261.17,-0.93738,261.17,0.31283
262.76,38.278,262.76,2.032,262.76,1.3583,262.76,-0.23662,262.76,-0.011848,262.76,-0.0020702,262.76,-0.25678,262.76,1.0166,262.76,0.057003,262.76,-0.00014241,262.76,-0.055796,262.76,0.057462,262.76,-0.95772,262.76,0.24306
264.34,38.169,264.34,2.0029,264.34,1.356,264.34,-0.23979,264.34,-0.011604,2.64E+02,-0.0024548,264.34,-0.26073,264.34,1.0159,264.34,0.056353,264.34,0.00010751,264.34,-0.052781,264.34,0.057457,264.34,-0.97056,264.34,0.17018
265.93,37.996,265.93,1.9778,265.93,1.2997,265.93,-0.24598,265.93,-0.012116,265.93,-0.0020061,265.93,-0.2698,265.93,1.0163,265.93,0.054638,265.93,-9.14E-05,265.93,-0.049673,265.93,0.056706,265.93,-0.97942,265.93,0.093196
267.52,37.666,267.52,1.9843,267.52,1.2725,267.52,-0.25691,267.52,-0.012537,267.52,-0.0020517,267.52,-0.28038,267.52,1.0147,267.52,0.055106,267.52,-0.00011701,267.52,-0.043338,267.52,0.05513,267.52,-0.98034,267.52,0.013293
269.11,37.332,269.11,1.9408,269.11,1.1943,269.11,-0.26856,269.11,-0.013007,269.11,-0.0018296,269.11,-0.2936,269.11,1.0147,269.11,0.052063,269.11,-0.00018919,269.11,-0.040012,269.11,0.053358,269.11,-0.97489,269.11,-0.069416
270.7,36.828,270.7,1.9521,270.7,1.1321,270.7,-0.28508,270.7,-0.014268,270.7,-0.0019109,270.7,-0.31039,270.7,1.0141,270.7,0.052001,270.7,0.00019181,270.7,-0.034282,270.7,0.050171,270.7,-0.95796,270.7,-0.15407
272.29,36.256,272.29,1.8925,272.29,1.0914,272.29,-0.30422,272.29,-0.013997,2.72E+02,-0.0014017,272.29,-0.33054,272.29,1.0144,272.29,0.050192,272.29,-0.00038321,272.29,-0.031708,272.29,0.046929,272.29,-0.93299,272.29,-0.24071
273.87,35.636,273.87,1.9047,273.87,1.0287,273.87,-0.32524,273.87,-0.015087,273.87,-0.0014779,273.87,-0.35064,273.87,1.0149,273.87,0.0493,273.87,-0.00067583,273.87,-0.026292,273.87,0.043589,273.87,-0.89952,273.87,-0.32818
275.46,34.926,275.46,1.8733,275.46,0.97202,275.46,-0.34876,275.46,-0.015513,275.46,-0.0013337,275.46,-0.37578,275.46,1.016,275.46,0.048541,275.46,-0.00029788,275.46,-0.021151,275.46,0.038592,275.46,-0.85286,275.46,-0.41455
277.05,34.218,277.05,1.8613,277.05,0.91391,277.05,-0.37284,277.05,-0.016263,277.05,-0.0015778,277.05,-0.39962,277.05,1.0185,277.05,0.047763,277.05,-0.00014536,277.05,-0.01573,277.05,0.033338,277.05,-0.79562,277.05,-0.503
278.64,33.445,278.64,1.89,278.64,0.85416,278.64,-0.39804,278.64,-0.017714,278.64,-0.0013683,278.64,-0.42378,278.64,1.0183,278.64,0.046222,278.64,-0.00096252,278.64,-0.011989,278.64,0.028704,278.64,-0.72155,278.64,-0.58744
280.23,32.61,280.23,1.9113,280.23,0.80153,280.23,-0.42456,280.23,-0.018881,280.23,-0.0012436,280.23,-0.45084,280.23,1.0197,280.23,0.046513,280.23,-0.0002245,280.23,-0.0088814,280.23,0.021782,280.23,-0.62723,280.23,-0.66836
281.82,31.864,281.82,1.8709,281.82,0.74335,281.82,-0.44975,281.82,-0.019089,281.82,-0.0011537,281.82,-0.47447,281.82,1.0253,281.82,0.044507,281.82,-0.00036291,281.82,-0.0055316,281.82,0.014575,281.82,-0.51635,281.82,-0.74525
283.4,31.169,283.4,1.9973,283.4,0.75737,283.4,-0.4709,283.4,-0.020638,283.4,-0.0015063,283.4,-0.49606,283.4,1.0266,283.4,0.045979,283.4,-0.00042421,283.4,-0.0019156,283.4,0.0075138,283.4,-0.38122,283.4,-0.80919
284.99,30.47,284.99,2.0308,284.99,0.76286,284.99,-0.4925,284.99,-0.020558,284.99,-0.00071291,284.99,-0.51769,284.99,1.0334,284.99,0.045654,284.99,-0.0002742,284.99,-0.00052614,284.99,-0.00043687,284.99,-0.21891,284.99,-0.85401
286.58,29.889,286.58,2.0619,286.58,0.76566,286.58,-0.51218,286.58,-0.02061,286.58,-0.00074174,286.58,-0.53672,286.58,1.0404,286.58,0.044732,286.58,-0.00060796,286.58,0.0016981,286.58,-0.0076446,286.58,-0.033878,286.58,-0.87198
