Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 50°,,Exp Aps 50°,,Exp Asp 50°,,Exp mm12 50°,,Exp mm13 50°,,Exp mm14 50°,,Exp mm21 50°,,Exp mm22 50°,,Exp mm23 50°,,Exp mm24 50°,,Exp mm31 50°,,Exp mm32 50°,,Exp mm33 50°,,Exp mm34 50°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,37.852,245.29,2.2979,245.29,1.3223,245.29,-0.25587,245.29,-0.017288,245.29,-0.0018876,245.29,-0.24657,245.29,1.023,245.29,0.061186,245.29,-1.95E-03,245.29,-0.044573,245.29,0.046315,245.29,-0.68429,245.29,0.72446
246.88,37.873,246.88,2.2858,246.88,1.3118,246.88,-0.25278,246.88,-0.017246,246.88,-0.002607,246.88,-0.25063,246.88,1.0157,246.88,0.0601,246.88,-2.40E-03,246.88,-0.042713,246.88,0.048047,246.88,-0.70668,246.88,0.69048
248.47,37.983,248.47,2.2289,248.47,1.322,248.47,-0.2481,248.47,-0.016081,248.47,-0.0024656,248.47,-0.24852,248.47,1.0125,248.47,0.059741,248.47,-2.14E-03,248.47,-0.041425,248.47,0.047762,248.47,-0.73322,248.47,0.66069
250.06,38.153,250.06,2.1647,250.06,1.3552,250.06,-0.24112,250.06,-0.014409,250.06,-0.0026265,250.06,-0.24547,250.06,1.0098,250.06,0.058831,250.06,-2.05E-03,250.06,-0.042453,250.06,0.049412,250.06,-0.75623,250.06,0.62895
251.64,38.333,251.64,2.1669,251.64,1.3247,251.64,-0.23542,251.64,-0.015038,251.64,-0.0029134,251.64,-0.24124,251.64,1.0124,251.64,0.058024,251.64,-1.77E-03,251.64,-0.046025,251.64,0.051092,251.64,-0.78426,251.64,0.60099
253.23,38.567,253.23,2.105,253.23,1.3402,253.23,-0.22895,253.23,-0.013769,253.23,-0.0027927,253.23,-0.23501,253.23,1.0214,253.23,0.057864,253.23,-2.04E-03,253.23,-0.054279,253.23,0.052542,253.23,-0.81619,253.23,0.5741
254.82,38.814,254.82,2.0767,254.82,1.3821,254.82,-0.22105,254.82,-0.012644,254.82,-0.0033233,254.82,-0.22954,254.82,1.0256,254.82,0.058278,254.82,-1.74E-03,254.82,-0.058864,254.82,0.054486,254.82,-0.84283,254.82,0.54295
256.41,39.065,256.41,2.0024,256.41,1.3059,256.41,-0.21218,256.41,-0.012484,256.41,-0.0029939,256.41,-0.22332,256.41,1.0265,256.41,0.056493,256.41,-1.84E-03,256.41,-0.061051,256.41,0.052537,256.41,-0.86756,256.41,0.50676
257.99,39.316,257.99,1.9757,257.99,1.3654,257.99,-0.20336,257.99,-0.011167,257.99,-0.0037385,257.99,-0.21698,257.99,1.0285,257.99,0.056735,257.99,-1.62E-03,257.99,-0.06536,257.99,0.054923,257.99,-0.89132,257.99,0.46925
259.58,39.546,259.58,1.9502,259.58,1.3221,259.58,-0.19472,259.58,-0.011536,259.58,-0.0030512,259.58,-0.21113,259.58,1.0275,259.58,0.055985,259.58,-2.15E-03,259.58,-0.062285,259.58,0.05432,259.58,-0.91371,259.58,0.42634
261.17,39.745,261.17,1.8943,261.17,1.3055,261.17,-0.18715,261.17,-0.010765,261.17,-0.0032005,261.17,-0.20412,261.17,1.024,261.17,0.054896,261.17,-2.09E-03,261.17,-0.056727,261.17,0.053726,261.17,-0.93082,261.17,0.3803
