Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 50°,,Exp Aps 50°,,Exp Asp 50°,,Exp mm12 50°,,Exp mm13 50°,,Exp mm14 50°,,Exp mm21 50°,,Exp mm22 50°,,Exp mm23 50°,,Exp mm24 50°,,Exp mm31 50°,,Exp mm32 50°,,Exp mm33 50°,,Exp mm34 50°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,36.458,245.29,2.6684,245.29,1.5085,245.29,-0.3022,245.29,-0.019924,245.29,-0.0026174,245.29,-0.29361,245.29,1.017,245.29,0.069605,245.29,-0.00042817,245.29,-0.047649,245.29,0.049892,245.29,-0.6551,245.29,0.72417
246.88,36.651,246.88,2.557,246.88,1.5163,246.88,-0.29264,246.88,-0.017958,246.88,-0.0028446,246.88,-0.28945,246.88,1.0074,246.88,0.066482,246.88,-0.00011019,246.88,-0.045617,246.88,0.051919,246.88,-0.68107,246.88,0.68948
248.47,36.89,248.47,2.53,248.47,1.5169,248.47,-0.28334,248.47,-0.017356,248.47,-0.002928,248.47,-0.28375,248.47,1.0037,248.47,0.066351,248.47,-3.00E-05,248.47,-0.045397,248.47,0.052776,248.47,-0.70818,248.47,0.66025
250.06,37.152,250.06,2.4924,250.06,1.5182,250.06,-0.27367,250.06,-0.0166,2.50E+02,-0.0031321,250.06,-0.27792,250.06,1.0028,250.06,0.065932,250.06,-0.00025984,250.06,-0.045403,250.06,0.053989,250.06,-0.73348,250.06,0.63285
251.64,37.475,251.64,2.431,251.64,1.5148,251.64,-0.26314,251.64,-0.015679,251.64,-0.0027762,251.64,-0.27021,251.64,1.0043,251.64,0.065282,251.64,-0.0001557,251.64,-0.047873,251.64,0.054696,251.64,-0.76123,251.64,0.60642
253.23,37.796,253.23,2.3749,253.23,1.5247,253.23,-0.25433,253.23,-0.01481,253.23,-0.0027808,253.23,-0.26185,253.23,1.0144,253.23,0.06497,253.23,-0.00050552,253.23,-0.056345,253.23,0.057049,253.23,-0.79295,253.23,0.5841
254.82,38.144,254.82,2.3108,254.82,1.5618,254.82,-0.24298,254.82,-0.013738,254.82,-0.0026352,254.82,-0.25235,254.82,1.0176,254.82,0.064748,254.82,-0.00027741,254.82,-0.059718,254.82,0.057815,254.82,-0.81948,254.82,0.55561
256.41,38.509,256.41,2.2229,256.41,1.5324,256.41,-0.23064,256.41,-0.012795,256.41,-0.0024404,256.41,-0.2433,256.41,1.0205,256.41,0.063286,256.41,-0.0004232,256.41,-0.062261,256.41,0.057707,256.41,-0.84571,256.41,0.52462
257.99,38.868,257.99,2.1908,257.99,1.5383,257.99,-0.21834,257.99,-0.012105,257.99,-0.00232,257.99,-0.23208,257.99,1.0215,257.99,0.063094,257.99,-0.00026641,257.99,-0.064,257.99,0.058717,257.99,-0.87014,257.99,0.49106
259.58,39.182,259.58,2.1229,259.58,1.5232,259.58,-0.20714,259.58,-0.011115,259.58,-0.0024296,259.58,-0.22429,259.58,1.0217,259.58,0.062032,259.58,-0.00041061,259.58,-0.062611,259.58,0.058467,259.58,-0.89301,259.58,0.45233
261.17,39.469,261.17,2.0781,261.17,1.5404,261.17,-0.19604,261.17,-0.010035,261.17,-0.0024611,261.17,-0.21423,261.17,1.018,261.17,0.06138,261.17,-0.00046286,261.17,-0.058889,261.17,0.05939,261.17,-0.91106,261.17,0.40976
262.76,39.732,262.76,2.0037,262.76,1.5258,262.76,-0.18683,262.76,-0.0088965,262.76,-0.0025507,262.76,-0.20855,262.76,1.017,262.76,0.059811,262.76,-3.76E-05,262.76,-0.056622,262.76,0.059155,262.76,-0.93147,262.76,0.3649
264.34,39.923,264.34,1.9692,264.34,1.5034,264.34,-0.17976,264.34,-0.0082832,2.64E+02,-0.0025207,264.34,-0.20162,264.34,1.0152,264.34,0.05891,264.34,-0.00022732,264.34,-0.053933,264.34,0.059435,264.34,-0.94853,264.34,0.31675
265.93,40.053,265.93,1.917,265.93,1.4706,265.93,-0.17512,265.93,-0.0079771,265.93,-0.0023056,265.93,-0.20039,265.93,1.0155,265.93,0.057337,265.93,-0.00013426,265.93,-0.051625,265.93,0.059013,265.93,-0.96406,265.93,0.26576
267.52,40.077,267.52,1.8859,267.52,1.4531,267.52,-0.17404,267.52,-0.0077982,267.52,-0.0022151,267.52,-0.19881,267.52,1.0148,267.52,0.056866,267.52,-0.00048517,267.52,-0.045503,267.52,0.058382,267.52,-0.97726,267.52,0.21222
269.11,40.069,269.11,1.8305,269.11,1.4018,269.11,-0.17426,269.11,-0.0078184,269.11,-0.0022319,269.11,-0.20195,269.11,1.0153,269.11,0.054843,269.11,-0.00024781,269.11,-0.042836,269.11,0.057097,269.11,-0.98759,269.11,0.15574
270.7,39.94,270.7,1.8051,270.7,1.3529,270.7,-0.17851,270.7,-0.0080302,270.7,-0.0021573,270.7,-0.20577,270.7,1.0146,270.7,0.053896,270.7,-6.58E-05,270.7,-0.038078,270.7,0.055592,270.7,-0.99328,270.7,0.097104
272.29,39.734,272.29,1.7631,272.29,1.3181,272.29,-0.18567,272.29,-0.0082179,2.72E+02,-0.0017731,272.29,-0.21475,272.29,1.0148,272.29,0.052354,272.29,-0.00040175,272.29,-0.034606,272.29,0.054381,272.29,-0.99548,272.29,0.036484
273.87,39.45,273.87,1.7482,273.87,1.2702,273.87,-0.19524,273.87,-0.0086371,273.87,-0.0019998,273.87,-0.22392,273.87,1.0149,273.87,0.051992,273.87,-0.00040457,273.87,-0.030328,273.87,0.052197,273.87,-0.9935,273.87,-0.025606
275.46,39.084,275.46,1.7078,275.46,1.2015,275.46,-0.20807,275.46,-0.0089514,275.46,-0.0017578,275.46,-0.2366,275.46,1.0151,275.46,0.049978,275.46,-0.00033671,275.46,-0.02464,275.46,0.049845,275.46,-0.98886,275.46,-0.089355
277.05,38.648,277.05,1.6922,277.05,1.1509,277.05,-0.22333,277.05,-0.0094867,277.05,-0.0017698,277.05,-0.25144,277.05,1.0156,277.05,0.048833,277.05,-0.00033562,277.05,-0.021951,277.05,0.047919,277.05,-0.97772,277.05,-0.15443
278.64,38.113,278.64,1.6303,278.64,1.0822,278.64,-0.24218,278.64,-0.0093673,278.64,-0.0016275,278.64,-0.27043,278.64,1.0167,278.64,0.047138,278.64,-0.00016818,278.64,-0.01774,278.64,0.044246,278.64,-0.9629,278.64,-0.2213
280.23,37.513,280.23,1.6669,280.23,1.0415,280.23,-0.26271,280.23,-0.01088,280.23,-0.0016505,280.23,-0.28991,280.23,1.0173,280.23,0.046695,280.23,-0.00025421,280.23,-0.016531,280.23,0.042849,280.23,-0.93771,280.23,-0.2885
281.82,36.911,281.82,1.6466,281.82,0.9803,281.82,-0.28398,281.82,-0.011593,281.82,-0.0014526,281.82,-0.31089,281.82,1.0206,281.82,0.044951,281.82,-0.00059022,281.82,-0.012761,281.82,0.040064,281.82,-0.90946,281.82,-0.35881
283.4,36.204,283.4,1.6214,283.4,0.87424,283.4,-0.3076,283.4,-0.013205,283.4,-0.0015965,283.4,-0.33382,283.4,1.0207,283.4,0.043101,283.4,-0.00056117,283.4,-0.0088158,283.4,0.034748,283.4,-0.86799,283.4,-0.42999
284.99,35.387,284.99,1.6245,284.99,0.86468,284.99,-0.33547,284.99,-0.013606,284.99,-0.0010025,284.99,-0.36176,284.99,1.0235,284.99,0.044289,284.99,-0.00034854,284.99,-0.0066319,284.99,0.030315,284.99,-0.81821,284.99,-0.50395
286.58,34.49,286.58,1.5928,286.58,0.78426,286.58,-0.36689,286.58,-0.014315,286.58,-0.00125,286.58,-0.39099,286.58,1.0286,286.58,0.041686,286.58,-0.00052022,286.58,-0.0034756,286.58,0.025933,286.58,-0.75674,286.58,-0.57911
