Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 65°,,Exp Aps 65°,,Exp Asp 65°,,Exp mm12 65°,,Exp mm13 65°,,Exp mm14 65°,,Exp mm21 65°,,Exp mm22 65°,,Exp mm23 65°,,Exp mm24 65°,,Exp mm31 65°,,Exp mm32 65°,,Exp mm33 65°,,Exp mm34 65°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,31.663,245.29,2.8364,245.29,1.0516,245.29,-0.45826,245.29,-0.02871,245.29,-0.0012956,245.29,-0.45311,245.29,1.0134,245.29,0.060422,245.29,-3.29E-03,245.29,-0.028504,245.29,0.030946,245.29,-0.40365,245.29,0.81287
246.88,31.709,246.88,2.7925,246.88,1.0687,246.88,-0.4535,246.88,-0.027745,246.88,-0.0011903,246.88,-0.45372,246.88,1.0071,246.88,0.059059,246.88,-0.0031646,246.88,-0.028586,246.88,0.035202,246.88,-0.45669,246.88,0.77814
248.47,31.627,248.47,2.8207,248.47,1.0574,248.47,-0.45494,248.47,-0.028446,248.47,-0.0013399,248.47,-0.45921,248.47,1.0083,248.47,0.059195,248.47,-2.78E-03,248.47,-0.029634,248.47,0.037735,248.47,-0.51314,248.47,0.73841
250.06,31.401,250.06,2.823,250.06,1.0582,250.06,-0.46005,250.06,-0.027912,250.06,-0.0012471,250.06,-0.46683,250.06,1.0049,250.06,0.058768,250.06,-3.01E-03,250.06,-0.032312,250.06,0.041262,250.06,-0.57132,250.06,0.685
251.64,31.023,251.64,2.8631,251.64,1.0075,251.64,-0.47276,251.64,-0.029364,251.64,-0.001552,251.64,-0.48181,251.64,1.0113,251.64,0.058638,251.64,-2.80E-03,251.64,-0.035958,251.64,0.043256,251.64,-0.63088,251.64,0.62387
253.23,30.387,253.23,2.9667,253.23,0.96616,253.23,-0.49611,253.23,-0.031682,253.23,-0.0016894,253.23,-0.50198,253.23,1.0202,253.23,0.058768,253.23,-2.02E-03,253.23,-0.043791,253.23,0.046554,253.23,-0.6906,253.23,0.55064
254.82,29.438,254.82,3.0159,254.82,0.96814,254.82,-0.52631,254.82,-0.032002,254.82,-0.0018146,254.82,-0.53058,254.82,1.0242,254.82,0.059091,254.82,-0.0014134,254.82,-0.0484,254.82,0.047789,254.82,-0.73608,254.82,0.46025
256.41,28.236,256.41,3.0875,256.41,0.90315,256.41,-0.56214,256.41,-0.033574,256.41,-0.00169,256.41,-0.56877,256.41,1.0273,256.41,0.058021,256.41,-1.47E-03,256.41,-0.05061,256.41,0.047193,256.41,-0.76462,256.41,0.35484
257.99,26.633,257.99,3.3363,257.99,0.82257,257.99,-0.60808,257.99,-0.037443,257.99,-0.0017009,257.99,-0.614,257.99,1.0297,257.99,0.057826,257.99,-0.00078348,257.99,-0.051255,257.99,0.046736,257.99,-0.77097,257.99,0.24126
