Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 60°,,Exp Aps 60°,,Exp Asp 60°,,Exp mm12 60°,,Exp mm13 60°,,Exp mm14 60°,,Exp mm21 60°,,Exp mm22 60°,,Exp mm23 60°,,Exp mm24 60°,,Exp mm31 60°,,Exp mm32 60°,,Exp mm33 60°,,Exp mm34 60°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,35.471,245.29,2.326,245.29,1.1138,245.29,-0.3342,245.29,-0.020676,245.29,-0.0016502,245.29,-0.32766,245.29,1.016,245.29,0.055612,245.29,-4.22E-04,245.29,-0.038699,245.29,0.039162,245.29,-0.59977,245.29,0.75265
246.88,35.561,246.88,2.2522,246.88,1.1085,246.88,-0.32843,246.88,-0.019514,246.88,-0.0018131,246.88,-0.32757,246.88,1.009,246.88,0.05428,246.88,-8.14E-04,246.88,-0.036864,246.88,0.040192,246.88,-0.64463,246.88,0.70599
248.47,35.693,248.47,2.2494,248.47,1.106,248.47,-0.32369,248.47,-0.019543,248.47,-0.0026412,248.47,-0.32676,248.47,1.0099,248.47,0.053415,248.47,-2.53E-04,248.47,-0.039339,248.47,0.043831,248.47,-0.69459,248.47,0.65767
250.06,35.782,250.06,2.2716,250.06,1.1386,250.06,-0.31921,250.06,-0.01929,250.06,-0.0019701,250.06,-0.32467,250.06,1.0068,250.06,0.055331,250.06,-9.50E-04,250.06,-0.038384,250.06,0.045412,250.06,-0.74204,250.06,0.60058
251.64,35.856,251.64,2.2281,251.64,1.1198,251.64,-0.31755,251.64,-0.0191,251.64,-0.002051,251.64,-0.32432,251.64,1.0111,251.64,0.05433,251.64,-1.25E-03,251.64,-0.042149,251.64,0.047376,251.64,-0.79152,251.64,0.54033
253.23,35.877,253.23,2.2166,253.23,1.137,253.23,-0.31937,253.23,-0.019,253.23,-0.0026372,253.23,-0.32678,253.23,1.0219,253.23,0.054355,253.23,-9.61E-04,253.23,-0.053101,253.23,0.050664,253.23,-0.84269,253.23,0.47332
254.82,35.85,254.82,2.163,254.82,1.1102,254.82,-0.32126,254.82,-0.018684,254.82,-0.0029052,254.82,-0.3285,254.82,1.0257,254.82,0.052974,254.82,-8.87E-04,254.82,-0.057661,254.82,0.051574,254.82,-0.8847,254.82,0.39558
256.41,35.79,256.41,2.1306,256.41,1.0609,256.41,-0.32318,256.41,-0.019203,256.41,-0.0026092,256.41,-0.33376,256.41,1.0282,256.41,0.0527,256.41,-1.32E-03,256.41,-0.05945,256.41,0.050265,256.41,-0.91821,256.41,0.30857
257.99,35.709,257.99,2.0996,257.99,1.0745,257.99,-0.32663,257.99,-0.018585,257.99,-0.0026963,257.99,-0.33597,257.99,1.0294,257.99,0.051575,257.99,-1.44E-03,257.99,-0.063229,257.99,0.052079,257.99,-0.94466,257.99,0.21479
259.58,35.58,259.58,2.015,259.58,1.0103,259.58,-0.33043,259.58,-0.018335,259.58,-0.0025201,259.58,-0.34299,259.58,1.0299,259.58,0.049426,259.58,-1.89E-03,259.58,-0.059074,259.58,0.049458,259.58,-0.96003,259.58,0.11156
261.17,35.432,261.17,2.016,261.17,1.0033,261.17,-0.33458,261.17,-0.018419,261.17,-0.0026632,261.17,-0.34858,261.17,1.0272,261.17,0.049694,261.17,-2.23E-03,261.17,-0.053707,261.17,0.04844,261.17,-0.96099,261.17,0.0048093
262.76,35.316,262.76,1.939,262.76,1.0283,262.76,-0.33809,262.76,-0.016652,262.76,-0.0022375,262.76,-0.35538,262.76,1.0266,262.76,0.049141,262.76,-1.99E-03,262.76,-0.051508,262.76,0.047035,262.76,-0.9529,262.76,-0.10719
264.34,35.236,264.34,1.9371,264.34,0.95761,264.34,-0.34058,264.34,-0.017786,264.34,-0.0028008,264.34,-0.35756,264.34,1.0275,264.34,0.048611,264.34,-2.02E-03,264.34,-0.043878,264.34,0.043176,264.34,-0.93007,264.34,-0.2234
265.93,35.221,265.93,1.8911,265.93,0.89895,265.93,-0.34151,265.93,-0.017947,265.93,-0.002701,265.93,-0.36129,265.93,1.0311,265.93,0.047354,265.93,-0.002018,265.93,-0.039741,265.93,0.039116,265.93,-0.89306,265.93,-0.34239
