Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 65°,,Exp Aps 65°,,Exp Asp 65°,,Exp mm12 65°,,Exp mm13 65°,,Exp mm14 65°,,Exp mm21 65°,,Exp mm22 65°,,Exp mm23 65°,,Exp mm24 65°,,Exp mm31 65°,,Exp mm32 65°,,Exp mm33 65°,,Exp mm34 65°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,33.344,245.29,2.4311,245.29,0.98119,245.29,-0.40337,245.29,-0.023944,245.29,-0.0020471,245.29,-0.39911,245.29,1.0159,245.29,0.053572,245.29,-1.15E-03,245.29,-0.037993,245.29,0.038052,245.29,-0.5961,245.29,0.71632
246.88,33.109,246.88,2.4277,246.88,1.0195,246.88,-0.4074,246.88,-0.023062,246.88,-0.002235,246.88,-0.4074,246.88,1.0085,246.88,0.05329,246.88,-7.19E-04,246.88,-0.037869,246.88,0.041628,246.88,-0.65768,246.88,0.64484
248.47,32.857,248.47,2.4503,248.47,0.97863,248.47,-0.41473,248.47,-0.024084,248.47,-0.0023923,248.47,-0.41775,248.47,1.0091,248.47,0.052719,248.47,-1.16E-03,248.47,-0.039176,248.47,0.044079,248.47,-0.72096,248.47,0.56508
250.06,32.56,250.06,2.4786,250.06,0.95789,250.06,-0.42234,250.06,-0.024871,250.06,-0.0019888,250.06,-0.42869,250.06,1.0079,250.06,0.052598,250.06,-1.21E-03,250.06,-0.038771,250.06,0.045915,250.06,-0.7758,250.06,0.47093
251.64,32.256,251.64,2.4154,251.64,0.94774,251.64,-0.43331,251.64,-0.023984,251.64,-0.0021166,251.64,-0.44122,251.64,1.0122,251.64,0.051737,251.64,-1.66E-03,251.64,-0.043158,251.64,0.04697,251.64,-0.82777,251.64,0.36754
253.23,31.869,253.23,2.4814,253.23,0.91786,253.23,-0.44907,253.23,-0.025826,253.23,-0.0018722,253.23,-0.45509,253.23,1.0223,253.23,0.05207,253.23,-1.79E-03,253.23,-0.050537,253.23,0.04902,253.23,-0.87016,253.23,0.25258
254.82,31.484,254.82,2.4521,254.82,0.92447,254.82,-0.46285,254.82,-0.025423,254.82,-0.0019108,254.82,-0.46866,254.82,1.0267,254.82,0.051923,254.82,-1.22E-03,254.82,-0.055251,254.82,0.049086,254.82,-0.89355,254.82,0.12411
256.41,31.134,256.41,2.4526,256.41,0.8566,256.41,-0.47391,256.41,-0.026305,256.41,-0.0022604,256.41,-0.48072,256.41,1.0289,256.41,0.052201,256.41,-1.26E-03,256.41,-0.054272,256.41,0.045472,256.41,-0.89527,256.41,-0.013003
257.99,30.978,257.99,2.4368,257.99,0.8838,257.99,-0.48054,257.99,-0.025434,257.99,-0.002601,257.99,-0.48783,257.99,1.0322,257.99,0.052807,257.99,-1.33E-03,257.99,-0.05517,257.99,0.044546,257.99,-0.88137,257.99,-0.1562
259.58,30.857,259.58,2.313,259.58,0.83063,259.58,-0.48317,259.58,-0.024179,259.58,-0.002248,259.58,-0.49212,259.58,1.0298,259.58,0.050537,259.58,-1.40E-03,259.58,-0.050067,259.58,0.039043,259.58,-0.83834,259.58,-0.30045
261.17,31,261.17,2.3008,261.17,0.8343,261.17,-0.47719,261.17,-0.024109,261.17,-0.0022081,261.17,-0.48928,261.17,1.0297,261.17,0.051158,261.17,-1.80E-03,261.17,-0.039665,261.17,0.033869,261.17,-0.77207,261.17,-0.44188
262.76,31.417,262.76,2.1708,262.76,0.84899,262.76,-0.46312,262.76,-0.021882,262.76,-0.001996,262.76,-0.4765,262.76,1.0283,262.76,0.050446,262.76,-1.74E-03,262.76,-0.031247,262.76,0.026846,262.76,-0.6841,262.76,-0.57801
