Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 55°,,Exp Aps 55°,,Exp Asp 55°,,Exp mm12 55°,,Exp mm13 55°,,Exp mm14 55°,,Exp mm21 55°,,Exp mm22 55°,,Exp mm23 55°,,Exp mm24 55°,,Exp mm31 55°,,Exp mm32 55°,,Exp mm33 55°,,Exp mm34 55°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,33.898,245.29,2.9101,245.29,1.2577,245.29,-0.38634,245.29,-0.027337,245.29,-0.0004757,245.29,-0.37966,245.29,1.0125,245.29,0.067898,245.29,-2.95E-03,245.29,-0.037027,245.29,0.04256,245.29,-0.57906,245.29,0.74292
246.88,34.207,246.88,2.7807,246.88,1.3056,246.88,-0.37349,246.88,-0.024609,246.88,-0.0020385,246.88,-0.37301,246.88,1.0062,246.88,0.065213,246.88,-0.0026318,246.88,-0.038089,246.88,0.046233,246.88,-0.60389,246.88,0.71863
248.47,34.514,248.47,2.7838,248.47,1.2779,248.47,-0.36277,248.47,-0.02516,248.47,-0.0018104,248.47,-0.36534,248.47,1.0052,248.47,0.065425,248.47,-3.01E-03,248.47,-0.037884,248.47,0.046828,248.47,-0.62927,248.47,0.6999
250.06,34.868,250.06,2.7169,250.06,1.3035,250.06,-0.34956,250.06,-0.023532,250.06,-0.001803,250.06,-0.35495,250.06,1.0012,250.06,0.064893,250.06,-2.89E-03,250.06,-0.037807,250.06,0.048018,250.06,-0.65525,250.06,0.67761
251.64,35.266,251.64,2.619,251.64,1.3328,251.64,-0.33777,251.64,-0.021604,251.64,-0.0022047,251.64,-0.34624,251.64,1.0065,251.64,0.064435,251.64,-2.51E-03,251.64,-0.041414,251.64,0.049417,251.64,-0.68615,251.64,0.65823
253.23,35.627,253.23,2.5783,253.23,1.3476,253.23,-0.32803,253.23,-0.021238,253.23,-0.0025364,253.23,-0.33596,253.23,1.0157,253.23,0.063403,253.23,-2.39E-03,253.23,-0.050551,253.23,0.053568,253.23,-0.71995,253.23,0.6383
254.82,36.064,254.82,2.5221,254.82,1.3763,254.82,-0.31436,254.82,-0.019807,254.82,-0.0024926,254.82,-0.32304,254.82,1.0197,254.82,0.064279,254.82,-0.0024512,254.82,-0.054818,254.82,0.054376,254.82,-0.75368,254.82,0.61248
256.41,36.491,256.41,2.4197,256.41,1.348,256.41,-0.29998,256.41,-0.018725,256.41,-0.0024723,256.41,-0.31145,256.41,1.0219,256.41,0.062273,256.41,-1.85E-03,256.41,-0.057191,256.41,0.054553,256.41,-0.78676,256.41,0.5782
257.99,36.843,257.99,2.371,257.99,1.4078,257.99,-0.28835,257.99,-0.016873,257.99,-0.0028421,257.99,-0.29902,257.99,1.0225,257.99,0.062254,257.99,-0.0021593,257.99,-0.061832,257.99,0.057717,257.99,-0.82051,257.99,0.5382
259.58,37.129,259.58,2.3229,259.58,1.3325,259.58,-0.27785,259.58,-0.017321,259.58,-0.0024239,259.58,-0.29388,259.58,1.0232,259.58,0.061623,259.58,-2.18E-03,259.58,-0.058262,259.58,0.055712,259.58,-0.85285,259.58,0.48929
261.17,37.288,261.17,2.2705,261.17,1.3469,261.17,-0.27126,261.17,-0.016424,261.17,-0.0033913,261.17,-0.28686,261.17,1.0181,261.17,0.059521,261.17,-0.0016087,261.17,-0.056942,261.17,0.057941,261.17,-0.87922,261.17,0.43209
262.76,37.311,262.76,2.2142,262.76,1.2998,262.76,-0.27025,262.76,-0.016301,262.76,-0.0029379,262.76,-0.29006,262.76,1.0187,262.76,0.05791,262.76,-1.04E-03,262.76,-0.053201,262.76,0.057239,262.76,-0.90759,262.76,0.36786
264.34,37.071,264.34,2.2286,264.34,1.2691,264.34,-0.27775,264.34,-0.016805,264.34,-0.0028533,264.34,-0.29803,264.34,1.0174,264.34,0.058543,264.34,-1.13E-03,264.34,-0.050067,264.34,0.056541,264.34,-0.92966,264.34,0.29664
265.93,36.622,265.93,2.1825,265.93,1.2011,265.93,-0.29289,265.93,-0.01739,265.93,-0.0025029,265.93,-0.31508,265.93,1.0188,265.93,0.05593,265.93,-0.0011295,265.93,-0.047357,265.93,0.055543,265.93,-0.94493,265.93,0.22039
267.52,35.895,267.52,2.2449,267.52,1.1708,267.52,-0.31659,267.52,-0.019101,267.52,-0.0028589,267.52,-0.33932,267.52,1.0175,267.52,0.056689,267.52,-0.00074686,267.52,-0.041931,267.52,0.054585,267.52,-0.94967,267.52,0.13969
269.11,34.87,269.11,2.2701,269.11,1.0784,269.11,-0.35132,269.11,-0.020728,269.11,-0.0028321,269.11,-0.37504,269.11,1.0187,269.11,0.055177,269.11,-5.72E-04,269.11,-0.038271,269.11,0.052355,269.11,-0.94678,269.11,0.058262
