Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 60°,,Exp Aps 60°,,Exp Asp 60°,,Exp mm12 60°,,Exp mm13 60°,,Exp mm14 60°,,Exp mm21 60°,,Exp mm22 60°,,Exp mm23 60°,,Exp mm24 60°,,Exp mm31 60°,,Exp mm32 60°,,Exp mm33 60°,,Exp mm34 60°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,34.728,245.29,2.5665,245.29,1.2931,245.29,-0.35735,245.29,-0.021353,245.29,-0.002761,245.29,-0.35013,245.29,1.0086,245.29,0.061768,245.29,-5.75E-05,245.29,-0.039651,245.29,0.041896,245.29,-0.57169,245.29,0.75646
246.88,34.989,246.88,2.4896,246.88,1.309,246.88,-0.3461,246.88,-0.01977,246.88,-0.002741,246.88,-0.34479,246.88,1.0017,246.88,0.060233,246.88,-2.22E-05,246.88,-0.038882,246.88,0.044782,246.88,-0.61602,246.88,0.71627
248.47,35.242,248.47,2.4567,248.47,1.3272,248.47,-0.33648,248.47,-0.019059,248.47,-0.0029517,248.47,-0.33853,248.47,1.0003,248.47,0.059762,248.47,0.000283,248.47,-0.040332,248.47,0.047413,248.47,-0.66276,248.47,0.67342
250.06,35.463,250.06,2.4276,250.06,1.3358,250.06,-0.32847,250.06,-0.01835,250.06,-0.0030575,250.06,-0.3329,250.06,0.99923,250.06,0.059956,250.06,-2.90E-06,250.06,-0.041431,250.06,0.049407,250.06,-0.71059,250.06,0.62511
251.64,35.653,251.64,2.3731,251.64,1.3326,251.64,-0.32265,251.64,-0.017658,251.64,-0.0025743,251.64,-0.32968,251.64,1.0024,251.64,0.059043,251.64,-0.00021678,251.64,-0.045118,251.64,0.052002,251.64,-0.7594,251.64,0.57112
253.23,35.77,253.23,2.3612,253.23,1.3352,253.23,-0.32177,253.23,-0.017991,253.23,-0.0025353,253.23,-0.32817,253.23,1.0136,253.23,0.059352,253.23,4.87E-05,253.23,-0.053467,253.23,0.054216,253.23,-0.81154,253.23,0.51326
254.82,35.778,254.82,2.3252,254.82,1.3425,254.82,-0.322,254.82,-0.017344,254.82,-0.0025052,254.82,-0.32989,254.82,1.0177,254.82,0.059421,254.82,9.92E-05,254.82,-0.058521,254.82,0.055904,254.82,-0.8541,254.82,0.44319
256.41,35.742,256.41,2.2955,256.41,1.2746,256.41,-0.32371,256.41,-0.017808,256.41,-0.0024423,256.41,-0.33442,256.41,1.0205,256.41,0.057946,256.41,-7.49E-05,256.41,-0.062552,256.41,0.056555,256.41,-0.89197,256.41,0.36447
257.99,35.571,257.99,2.3052,257.99,1.2947,257.99,-0.32966,257.99,-0.017743,257.99,-0.0023634,257.99,-0.33977,257.99,1.0209,257.99,0.058403,257.99,-1.92E-05,257.99,-0.064779,257.99,0.058418,257.99,-0.9212,257.99,0.27909
259.58,35.32,259.58,2.2748,259.58,1.2263,259.58,-0.33805,259.58,-0.018289,259.58,-0.0024236,259.58,-0.35155,259.58,1.0208,259.58,0.057013,259.58,-0.00025273,259.58,-0.062449,259.58,0.057032,259.58,-0.94175,259.58,0.18517
261.17,34.964,261.17,2.2842,261.17,1.1894,261.17,-0.34828,261.17,-0.018971,261.17,-0.0024223,261.17,-0.36293,261.17,1.0173,261.17,0.056444,261.17,-3.07E-05,261.17,-0.05616,261.17,0.055952,261.17,-0.94701,261.17,0.085678
262.76,34.546,262.76,2.2345,262.76,1.132,262.76,-0.36175,262.76,-0.018841,262.76,-0.0023434,262.76,-0.38004,262.76,1.0162,262.76,0.05533,262.76,-0.00021395,262.76,-0.052832,262.76,0.052827,262.76,-0.94428,262.76,-0.01708
264.34,34.006,264.34,2.258,264.34,1.0843,264.34,-0.37881,264.34,-0.019845,264.34,-0.0021804,264.34,-0.39729,264.34,1.0148,264.34,0.054567,264.34,7.12E-05,264.34,-0.047549,264.34,0.050923,264.34,-0.92744,264.34,-0.12251
