Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 55°,,Exp Aps 55°,,Exp Asp 55°,,Exp mm12 55°,,Exp mm13 55°,,Exp mm14 55°,,Exp mm21 55°,,Exp mm22 55°,,Exp mm23 55°,,Exp mm24 55°,,Exp mm31 55°,,Exp mm32 55°,,Exp mm33 55°,,Exp mm34 55°
Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees,Wavelength (nm),\sY\n in degrees
245.29,36.656,245.29,2.3262,245.29,1.1912,245.29,-0.29526,245.29,-0.019873,245.29,-0.0022074,245.29,-0.28828,245.29,1.0187,245.29,0.058368,245.29,-1.85E-03,245.29,-0.040686,245.29,0.041942,245.29,-0.63125,245.29,0.7477
246.88,36.816,246.88,2.2469,246.88,1.2233,246.88,-0.2875,246.88,-0.017752,246.88,-0.0021998,246.88,-0.28545,246.88,1.0102,246.88,0.056881,246.88,-1.57E-03,246.88,-0.039115,246.88,0.043905,246.88,-0.66324,246.88,0.71152
248.47,36.995,248.47,2.2258,248.47,1.212,248.47,-0.28091,248.47,-0.017665,248.47,-0.0019859,248.47,-0.28113,248.47,1.0095,248.47,0.056346,248.47,-1.27E-03,248.47,-0.038858,248.47,0.045008,248.47,-0.69886,248.47,0.67744
250.06,37.231,250.06,2.2022,250.06,1.2125,250.06,-0.27153,250.06,-0.017239,250.06,-0.0026486,250.06,-0.27642,250.06,1.006,250.06,0.056233,250.06,-2.09E-03,250.06,-0.040211,250.06,0.046384,250.06,-0.73246,250.06,0.6388
251.64,37.466,251.64,2.1386,251.64,1.2411,251.64,-0.2646,251.64,-0.015755,251.64,-0.0025975,251.64,-0.27297,251.64,1.012,251.64,0.055839,251.64,-1.88E-03,251.64,-0.043438,251.64,0.048527,251.64,-0.77207,251.64,0.60033
253.23,37.665,253.23,2.1202,253.23,1.2445,253.23,-0.25957,253.23,-0.015599,253.23,-0.0022476,253.23,-0.26681,253.23,1.0207,253.23,0.056149,253.23,-2.15E-03,253.23,-0.052114,253.23,0.050536,253.23,-0.81244,253.23,0.56091
254.82,37.878,254.82,2.0774,254.82,1.2433,254.82,-0.25295,254.82,-0.015055,254.82,-0.0026727,254.82,-0.26102,254.82,1.0239,254.82,0.055243,254.82,-2.10E-03,254.82,-0.057006,254.82,0.052301,254.82,-0.8498,254.82,0.51343
256.41,38.083,256.41,2.025,256.41,1.2155,256.41,-0.24609,256.41,-0.014689,256.41,-0.0025717,256.41,-0.25769,256.41,1.0273,256.41,0.054723,256.41,-1.65E-03,256.41,-0.059647,256.41,0.051688,256.41,-0.8836,256.41,0.45927
257.99,38.243,257.99,2.0333,257.99,1.2502,257.99,-0.24025,257.99,-0.014047,257.99,-0.0025119,257.99,-0.25326,257.99,1.029,257.99,0.055984,257.99,-1.43E-03,257.99,-0.062566,257.99,0.053362,257.99,-0.9141,257.99,0.40077
